accepted_bin,wood_density,root_depth,leaf_n,leaf_p,stem_diameter,bark_thickness,seed_dry_mass,leaf_k,stomatal_conduct.,leaf_thickness,leaf_density,leaf_vcmax,conduit_diam.,crown_diameter,crown_height,tree_height,leaf_area,specific_leaf_area,shade,drought,water,cold,fire_tol,growth_rate
Prunus virginiana,0.5667025881026471,3.5999999999999996,19.02543100553898,1.3255322456304257,0.5,2.9529366853935017,92.96121368858556,8.002294799827315,140.81779499042423,0.12505357880568416,0.36837257191297623,0.29247109016654893,39.0867807499984,7.644716809900001,11.305420790996978,37.99999999999999,2562.9823246917595,16.92263634830292,NA,NA,NA,NA,NA,NA
Quercus alba,0.6596367130152773,3.0000000000000004,19.471541656798188,1.832044377078174,1.4351,6.429636929497361,2228.131403958673,7.852707441606956,132.0398182625035,0.12999274850757145,0.4626576930734735,0.5282935037099821,45.39862073499142,10.816653734000004,12.43,46,6128.5213803433835,13.978637387459935,2.85,3.56,1.43,-41.67,3,1
Quercus bicolor,0.6818229815901947,3.0000000000000004,18.675254105123944,1.8255055379284553,1.4351,6.429636929497361,2018.9651239638508,7.852707441606956,132.0398182625035,0.14660286616857254,0.4017828699772876,0.5282935037099821,45.0289231156776,10.816653734000004,12.43,46,6252.681637823928,13.639838725938125,2.98,3.35,2.58,-33.33,3,3
Quercus coccinea,0.6059455001938393,4,15.2250682360872,1.0738404010389129,0.699,10.63464428297607,2059.6537577042222,6.705082202011984,140.6303673822822,0.14915041482699987,0.4631552377969664,0.4424322051250872,46.26717821620058,10.816653734000004,15.699999999999998,49.99999999999999,4630.1028949746815,10.924539231803102,2.07,4,1,-33.33,3,3
Quercus ellipsoidalis,0.6325320453765809,1.2192,16.265046084384593,1.3738495929644867,0.647,10.63464428297607,1469.5873161361708,6.705082202011984,113.92756444213914,0.13191908342094164,0.490555416892589,0.4424322051250872,46.13704103510436,10.816653734000004,15.699999999999998,49.99999999999999,1341.8761863665202,12.829087852649854,3.47,2.32,2.42,-28.82,2,2
Quercus ilicifolia,0.7210194214142119,6.999999999999999,16.959406133941727,1.172351034116689,2.1,8.502921220080339,989.3135610039288,10.166475073084658,91.29584565368376,0.15478331781575508,0.5193285294348838,0.3303078561133026,43.92448276032885,13.550000000000004,16.099999999999998,32.89999999999999,3251.4116676614553,12.753238681195167,3.09,2.72,1.42,-24.27,4,2
Quercus macrocarpa,0.6164225032667646,4.8768,21.271689483636862,1.514360431594913,0.723613864,2.0821272131141617,1101.23446093617,7.482505426576257,269.5772909377095,0.13298136920037093,0.49050161400299014,0.6859276354759404,45.274788104727335,13.550000000000004,16.099999999999998,52.00000000000001,3819.16020757976,14.217070335026053,2.71,3.85,1.82,-38.89,4,1
Quercus michauxii,0.6649303931212998,1.0668,17.00145270643578,1.3957749888426194,0.699,9.997632521764258,3096.172428693679,6.763182391903293,146.33303052010876,0.16286033290590496,0.5966051874467556,0.33190111221235874,44.399373326636464,10.816653734000004,15.699999999999998,36.599999999999994,6310.689097592938,10.70361600627534,2.85,3.5,1,-28.89,2,2
Quercus palustris,0.6325320453765809,1.0794258913063912,12.911997686683646,1.3739028726631943,0.647,10.63464428297607,1042.8073854227737,6.705082202011984,113.92756444213914,0.13718295750702028,0.6210437100269447,0.4424322051250872,46.13704103510436,10.816653734000004,15.699999999999998,44.99999999999999,372.72414503740833,12.757586674052616,2.49,2.38,3.49,-36.11,3,3
Quercus rubra,0.6577010023224215,22.000000000000004,17.48624445163302,1.122337717211651,1.4351,3.6139468229447673,1978.4780674551591,7.72595927656499,201.42522368644063,0.15661006362539445,0.5241437358138116,0.5271521178877006,42.18351461494225,10.816653734000004,15.699999999999998,49.99999999999999,4228.69906362768,12.133746371674698,2.75,2.88,1.12,-37.22,4,2
Quercus stellata,0.6938912693098567,3.0000000000000004,17.283500642052353,1.5016080892113604,1.4351,6.429636929497361,1488.8162308204164,7.852707441606956,132.0398182625035,0.14660286616857254,0.4017828699772876,0.5282935037099821,45.0289231156776,10.816653734000004,12.43,46,6250.355071969399,12.630259335197142,2.16,4.5,1.5,-36.11,3,1
Quercus velutina,0.5951289545605232,44.99999999999999,17.355628144264738,1.2539367543227162,2.1,4.324814116430636,1312.4498219393795,7.915418062010484,115.6707169406216,0.17984712895626853,0.4851636036662289,0.31570273831198176,51.93200895682076,13.550000000000004,16.099999999999998,46,6357.612886402353,10.671626100589732,2.72,3,1.07,-34.44,3,2
Rhamnus cathartica,0.5530975277567556,0.6096,22.279763221096708,1.1519986176798074,0.656,1.7693113889220062,20.421233545814516,8.090241716025249,201.26935486803217,0.17141119946808211,0.3856409854764193,0.6800018271424113,40.66864901229131,17.651110917,12.300000000000002,10.668,1318.2643046994838,17.578786031061508,NA,NA,NA,NA,NA,NA
Robinia pseudoacacia,0.6296319578505004,8.5344,36.078632574562434,2.0327887942339697,0.79,6.2945015660075905,22.387365322242683,12.394078825143236,156.11057673130736,0.14303573273192016,0.41099080897199675,0.3885484584588548,46.33723437938646,40,24.999999999999996,40,3269.8644317904514,22.324644011859192,1.72,4.11,1.07,-38.33,4,3
